                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.74973,                0.58049,                0.98926,                0.87086,                0.63239,                0.69971,                 0.4344,                 1.2408,                0.67441,                   1.27,              0.0001815,              0.0001815,              0.0001815
                    115,                0.75333,                0.58812,                0.99174,                0.87914,                0.61986,                0.69524,                0.42785,                 1.2678,                0.68286,                 1.2787,             0.00017679,             0.00017679,             0.00017679
                    116,                0.74843,                0.57684,                0.99116,                0.87214,                 0.6268,                0.69121,                0.43477,                 1.2554,                0.68672,                 1.2743,             0.00017207,             0.00017207,             0.00017207
                    117,                0.74541,                0.58088,                0.99088,                0.89334,                0.64849,                0.71059,                0.43479,                  1.268,                0.68445,                 1.2737,             0.00016736,             0.00016736,             0.00016736
                    118,                 0.7454,                0.57891,                0.98863,                0.86663,                0.63021,                0.69525,                0.43458,                 1.2594,                0.68836,                 1.2725,             0.00016265,             0.00016265,             0.00016265
                    119,                0.74081,                 0.5751,                0.98811,                0.90921,                0.63607,                0.70445,                0.42865,                 1.3163,                0.70756,                 1.3164,             0.00015794,             0.00015794,             0.00015794
                    120,                0.74637,                0.57657,                0.99082,                0.90077,                0.63374,                0.70449,                 0.4374,                 1.2551,                 0.6768,                 1.2748,             0.00015322,             0.00015322,             0.00015322
                    121,                0.74699,                0.57821,                0.98817,                0.88316,                0.62975,                0.69921,                0.43055,                 1.2926,                0.69966,                 1.2856,             0.00014851,             0.00014851,             0.00014851
                    122,                0.73786,                0.56973,                0.98695,                0.86892,                0.64146,                0.70575,                0.42936,                 1.3106,                 0.6945,                 1.3119,              0.0001438,              0.0001438,              0.0001438
                    123,                0.73525,                0.57081,                0.98357,                0.86979,                 0.6312,                0.69599,                 0.4322,                 1.2972,                0.69494,                 1.3024,             0.00013909,             0.00013909,             0.00013909
                    124,                0.74008,                0.57354,                0.98716,                0.83222,                0.65891,                0.70734,                0.43461,                 1.2703,                 0.6761,                 1.2849,             0.00013437,             0.00013437,             0.00013437
                    125,                0.73345,                0.56902,                0.98395,                0.86759,                0.65127,                0.70729,                 0.4316,                 1.2872,                0.68287,                 1.2985,             0.00012966,             0.00012966,             0.00012966
                    126,                0.73445,                0.56195,                0.98446,                0.87314,                0.65448,                0.70736,                0.43422,                 1.2717,                0.68211,                 1.2871,             0.00012495,             0.00012495,             0.00012495
                    127,                0.72968,                 0.5676,                0.98145,                0.88543,                0.64564,                0.70837,                0.43245,                 1.2815,                0.68288,                 1.2864,             0.00012024,             0.00012024,             0.00012024
                    128,                0.72952,                0.55724,                0.98016,                0.87765,                0.65592,                0.70769,                0.44109,                 1.2544,                0.67324,                 1.2748,             0.00011553,             0.00011553,             0.00011553
                    129,                0.72945,                0.56614,                0.98259,                0.89891,                  0.633,                0.70575,                0.43657,                 1.2472,                0.67795,                 1.2704,             0.00011081,             0.00011081,             0.00011081
                    130,                0.72366,                0.56085,                0.98264,                0.86762,                0.64869,                0.70743,                0.43362,                 1.2895,                0.68003,                 1.2865,              0.0001061,              0.0001061,              0.0001061
                    131,                0.72379,                0.55646,                  0.981,                0.87395,                0.63864,                 0.7032,                0.43626,                 1.2803,                0.67961,                 1.2836,             0.00010139,             0.00010139,             0.00010139
                    132,                0.72736,                0.55838,                0.98006,                0.85385,                0.64627,                  0.705,                0.44211,                 1.2433,                0.67007,                 1.2673,             9.6676e-05,             9.6676e-05,             9.6676e-05
                    133,                0.71978,                0.55327,                0.97777,                0.87788,                0.64411,                0.70856,                0.44459,                 1.2403,                0.67102,                 1.2663,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    134,                0.71822,                0.54996,                0.97739,                0.86476,                0.65296,                0.71063,                0.44348,                   1.25,                0.67602,                 1.2635,             8.7251e-05,             8.7251e-05,             8.7251e-05
                    135,                0.72366,                0.55503,                0.97659,                0.89905,                0.64281,                0.71266,                0.44225,                 1.2646,                0.68073,                  1.276,             8.2538e-05,             8.2538e-05,             8.2538e-05
                    136,                0.71413,                0.55247,                0.97814,                0.87784,                0.65312,                 0.7141,                0.43483,                 1.2909,                0.68286,                 1.2957,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    137,                0.71999,                0.54874,                0.97687,                0.89053,                  0.643,                0.71229,                0.43962,                 1.2616,                0.67754,                 1.2763,             7.3114e-05,             7.3114e-05,             7.3114e-05
